iter	Passed	Remaining
969	45648	24941
970	45688	24891
971	45738	24845
972	45783	24797
973	45829	24749
974	45872	24700
975	45918	24652
976	45964	24605
977	46005	24554
978	46046	24504
979	46091	24456
980	46135	24408
981	46187	24363
982	46234	24316
983	46284	24271
984	46329	24222
985	46377	24176
986	46423	24129
987	46464	24078
988	46506	24029
989	46555	23983
990	46598	23933
991	46643	23886
992	46693	23840
993	46734	23790
994	46777	23741
995	46822	23693
996	46867	23645
997	46913	23597
998	46955	23548
999	47005	23502
1000	47049	23454
1001	47097	23407
1002	47146	23361
1003	47193	23314
1004	47236	23265
1005	47288	23221
1006	47335	23174
1007	47385	23128
1008	47435	23082
1009	47480	23034
1010	47526	22987
1011	47575	22941
1012	47623	22895
1013	47666	22846
1014	47713	22798
1015	47767	22755
1016	47811	22706
1017	47856	22659
1018	47905	22612
1019	47952	22565
1020	48002	22520
1021	48044	22470
1022	48087	22421
1023	48140	22377
1024	48196	22334
1025	48258	22294
1026	48317	22253
1027	48380	22213
1028	48453	22178
1029	48534	22146
1030	48578	22098
1031	48622	22049
1032	48672	22004
1033	48716	21955
1034	48763	21908
1035	48809	21860
1036	48849	21810
1037	48897	21763
1038	48947	21717
1039	48990	21669
1040	49039	21622
1041	49091	21577
1042	49137	21529
1043	49178	21480
1044	49223	21432
1045	49266	21383
1046	49313	21336
1047	49358	21288
1048	49405	21241
1049	49448	21192
1050	49489	21142
1051	49533	21094
1052	49586	21049
1053	49628	21000
1054	49693	20960
1055	49755	20920
1056	49815	20878
1057	49860	20830
1058	49911	20784
1059	49959	20737
1060	50007	20690
1061	50057	20645
1062	50108	20599
1063	50151	20550
1064	50203	20505
1065	50244	20456
1066	50288	20407
1067	50334	20359
1068	50375	20310
1069	50422	20263
1070	50475	20218
1071	50519	20170
1072	50560	20120
1073	50605	20072
1074	50651	20025
1075	50702	19979
1076	50749	19932
1077	50792	19883
1078	50872	19849
1079	50924	19804
1080	50970	19756
1081	51015	19708
1082	51055	19658
1083	51103	19611
1084	51150	19564
1085	51196	19516
1086	51240	19468
1087	51285	19420
1088	51335	19374
1089	51381	19326
1090	51422	19277
1091	51462	19227
1092	51507	19179
1093	51555	19133
1094	51603	19086
1095	51645	19037
1096	51693	18990
1097	51736	18941
1098	51827	18910
1099	51879	18865
1100	51928	18818
1101	51977	18772
1102	52013	18721
1103	52060	18673
1104	52116	18630
1105	52163	18582
1106	52213	18536
1107	52281	18496
1108	52332	18451
1109	52378	18403
1110	52427	18356
1111	52474	18309
1112	52519	18261
1113	52565	18213
1114	52608	18165
1115	52653	18117
1116	52706	18072
1117	52753	18024
1118	52801	17977
1119	52846	17930
1120	52891	17882
1121	52938	17834
1122	52979	17785
1123	53022	17736
1124	53069	17689
1125	53121	17644
1126	53173	17598
1127	53213	17548
1128	53257	17500
1129	53303	17453
1130	53343	17404
1131	53386	17355
1132	53434	17308
1133	53479	17260
1134	53528	17213
1135	53580	17168
1136	53632	17122
1137	53675	17074
1138	53719	17026
1139	53763	16977
1140	53807	16929
1141	53853	16882
1142	53900	16835
1143	53946	16787
1144	53989	16739
1145	54034	16691
1146	54081	16643
1147	54128	16596
1148	54171	16548
1149	54216	16500
1150	54258	16451
1151	54304	16404
1152	54354	16358
1153	54396	16309
1154	54449	16264
1155	54499	16217
1156	54540	16168
1157	54582	16120
1158	54622	16071
1159	54663	16022
1160	54713	15975
1161	54754	15926
1162	54798	15878
1163	54841	15830
1164	54892	15784
1165	54944	15738
1166	54991	15691
1167	55038	15644
1168	55080	15595
1169	55121	15547
1170	55163	15498
1171	55212	15451
1172	55254	15403
1173	55296	15355
1174	55346	15308
1175	55398	15262
1176	55445	15215
1177	55491	15168
1178	55543	15122
1179	55593	15076
1180	55636	15027
1181	55673	14978
1182	55715	14929
1183	55763	14882
1184	55813	14836
